Morad - Se Grita ft. Jul; https://www.youtube.com/watch?v=cyNF35gXcRM; Reggaeton
AC Slater - Bass Inside; https://www.youtube.com/watch?v=6XJkPtxqWM8; Bass House
Bad Bunny - MOJABI GHOST ft. Tainy; https://www.youtube.com/watch?v=O1wUdB7MQbI; Pop
Camila Cabello - Shameless; https://www.youtube.com/watch?v=3cNao-p6DnA; Pop
Fisher - Atmosphere ft. Kita Alexander; https://www.youtube.com/watch?v=xIbrgubKG6w; Tech-house
Rusha & Blizza - Saiyaan; https://www.youtube.com/watch?v=wrVXqt0d3Ow; Trap musicale
Rusha & Blizza - Aja Sawariya MODIFICA FINE; https://www.youtube.com/watch?v=HTQ8WL36aaw; Trap musicale
Rusha & Blizza - Mudra MODIFICA FINE; https://www.youtube.com/watch?v=OvVwoyTnnyE; Trap musicale
Rusha & Blizza - Ek Shaam; https://www.youtube.com/watch?v=RHoEDmdrsa8; Trap musicale
Rusha & Blizza - Hichki; https://www.youtube.com/watch?v=VtMcKRPYV8Q; Trap musicale
Rihanna - Only Girl (In The World); https://www.youtube.com/watch?v=jq-JCLZ87Xk; Canzoni anni 10
Artie 5ive - TOP G ft. Sacky; https://www.youtube.com/watch?v=ChsxJFwJHDU; Trap ita
John Summit - Legacy ft. VLTRA; https://www.youtube.com/watch?v=lv3etOhdey8; Tech
Venjent - Calling For You; https://www.youtube.com/watch?v=-5hMfM9N4FY; Tech
Drake - Slime You Out ft. SZA; https://www.youtube.com/watch?v=2_gLD1jarfU; Trap ame
Drake - Gently ft. Bad Bunny; https://www.youtube.com/watch?v=ZsMbP5c4pb4; Reggaeton
Quevedo - Columbia; https://www.youtube.com/watch?v=K3gaysS91hk; Reggaeton
Elodie - A Fari Spenti; https://www.youtube.com/watch?v=tkkp8fKOy1k; Pop
Artie 5ive - Cadillac ft. Boro Boro; https://www.youtube.com/watch?v=jh0ColE4BKI; Trap ita
Angelina Mango - Che t'o dico a fa; https://www.youtube.com/watch?v=BCjaVIO3JXY; Pop
Skrillex - Leave Me Like This ft. Bobby Raps; https://www.youtube.com/watch?v=4MQQCFaV2fM; Bass House
Slings - Stylist ft. Guè Pequeno; https://www.youtube.com/watch?v=yviiG0yKyE4; Trap ita
Bello FiGo - Non Pago Affitto ft. The GynoZz; https://www.youtube.com/watch?v=ookGv44MMd4; Ignoranza
Don Pero - Baby Mama; https://www.youtube.com/watch?v=2TnjE_BfD-4; Trap ita
Tiesto - 10:35 ft. Tate McRae; https://www.youtube.com/watch?v=E3H6AYSYCQE; House
Sfera Ebbasta - Milano ft. Fivio Foreign; https://www.youtube.com/watch?v=J8W2ILgZFd8; Trap ita
Drake - First Person Shooter ft. J. Cole; https://www.youtube.com/watch?v=sRs2o36a1Us; Trap ame
Bresh - Nightmares ft. Pinguini Tattici Nucleari; https://www.youtube.com/watch?v=5rsM1CMXKwc; Pop
Yung Snapp - Kiss You (F**k You) ft. Geolier; https://www.youtube.com/watch?v=qNWLXjGXaWE; Pop
Slings - ABC ft. Bello Figo; https://www.youtube.com/watch?v=q9mjpm6v9aY; Trap ita
Tate McRae - Greedy; https://www.youtube.com/watch?v=izJWjfAFgnk; Pop
Nicki Minaj - Barbie World (with Aqua) ft. Ice Spice; https://www.youtube.com/watch?v=ab0jkwsxDug; Trap ame
Artie 5ive vs Hugel - La gattina vs Marianela (Mash-Up Tech); https://www.youtube.com/watch?v=YzuqwTeVE_0; Bootleg tech
Blanco vs Black Eyed Peas - Bon Ton vs I Gotta Feeling (Mash-Up); https://www.youtube.com/watch?v=y9t6_xO0P00; Bootleg Pop
Artie 5ive & Anna vs Tyga - Anelli e Collane vs Taste (Mash-Up); https://www.youtube.com/watch?v=bR3656zD0fs; Bootleg Trap Ita
Myke Towers vs Sfera Ebbasta vs Capo Plaza - LaLa vs Mirage vs Chiama (Frddyyy Mash-Up); https://www.youtube.com/watch?v=lb3lWUduhfo; Bootleg Reggaeton
Rhove vs Fifth Harmony - Whip Whip vs Worth It (Frddyyy Mash-Up); https://www.youtube.com/watch?v=LmJSnHhXZ9Q; Bootleg Pop
